nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score,benefit_per_cost
NCT06465186,A Clinical Study of Efinopegdutide in People With Compensated Cirrhosis Due to Steatohepatitis (MK-6024-017),"Active, not recruiting",Phase 2,"['Non-alcoholic Fatty Liver Disease' 'Nonalcoholic Steatohepatitis'
 'NAFLD' 'Metabolic Dysfunction-associated Steatotic Liver Disease'
 'Metabolic Dysfunction-associated Steatohepatitis']",['Efinopegdutide' 'Placebo'],"['Australia' 'Canada' 'Colombia' 'France' 'Israel' 'Japan' 'Puerto Rico'
 'Spain' 'Thailand' 'United Kingdom' 'United States']",Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06465303,"A Study of RTP-026 to Assess Safety, Tolerability and Efficacy in Patients With ST-Elevation Myocardial Infarction (STEMI)",Recruiting,Phase 2,['ST Elevation Myocardial Infarction'],['RTP-026' 'Placebo'],['Denmark'],ResoTher Pharma,ResoTher Pharma,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06465329,A Study of Cemiplimab Plus Chemotherapy Versus Cemiplimab Plus Chemotherapy Plus Other Cancer Treatments for Adult Patients With Operable Non-Small Cell Lung Cancer (NSCLC),Recruiting,Phase 2,['Non-Small Cell Lung Cancer'],['Cemiplimab' 'Platinum-based chemotherapy' 'REGN7075'],['Brazil' 'France' 'Germany' 'Spain' 'Turkey (Türkiye)' 'United States'],Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06465433,Extension Study to Provide Continued Treatment for Patients With Hematologic Malignancies Previously Enrolled in Studies With Tafasitamab,Recruiting,Phase 2,['Hematologic Malignancies'],['Tafasitamab'],['Hungary' 'Italy' 'South Korea' 'Spain' 'Turkey (Türkiye)'],Incyte Corporation,Incyte Corporation,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06465563,Adebrelimab With or Without SHR-8068 in Combination With Cisplatin Plus Gemcitabine as First-line Treatment in Patients With Advanced Biliary Tract Cancer,Recruiting,Phase 2,['Biliary Tract Cancer'],['SHR-8068' 'Adebrelimab' 'Cisplatin' 'Gemcitabine'],['China'],"Suzhou Suncadia Biopharmaceuticals Co., Ltd.","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06470971,"Siltuximab for the Prevention of Severe Immune-Related Adverse Events During Immune Checkpoint Inhibitor Rechallenge in Patients with Advanced Cancer, CIRES Trial",Recruiting,Phase 2,"['Advanced Malignant Solid Neoplasm'
 'Hematopoietic and Lymphatic System Neoplasm']","['Anti-PD-L1 Monoclonal Antibody' 'Anti-PD1 Monoclonal Antibody' 'Biopsy'
 'Biospecimen Collection' 'Bone Scan' 'Computed Tomography'
 'Magnetic Resonance Imaging' 'Quality-of-Life Assessment' 'Siltuximab']",['United States'],Yuanquan Yang,Yuanquan Yang,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06471218,Efficacy and Safety of SHR-1918 in Patients With Hyperlipidemia,"Active, not recruiting",Phase 2,['Hyperlipidemia'],['SHR-1918; SHR-1918 Placebo'],['China'],"Beijing Suncadia Pharmaceuticals Co., Ltd","Beijing Suncadia Pharmaceuticals Co., Ltd",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06462248,Anti-CD19 Chimeric Antigen Receptor Modified T-cell (CAR-T) Therapy for Treatment of B-cell Hematological Malignancies,Recruiting,Phase 2,"['Lymphoma, Nonhodgkin' 'Leukemia, Lymphocytic']",['CUCART19'],['China'],Chi Kong Li,Chi Kong Li,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06478537,TPO-RA Treatment on Immune Tolerance Induction of ITP Patients With Sustained Platelet Recovery After Treatment Termination,Recruiting,Phase 2,['Immune Thrombocytopenia'],['Hetrombopag Olamine' 'Aspirin'],['China'],Peking Union Medical College Hospital,Peking Union Medical College Hospital,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06477185,"Characterization of Tuberculosis Associated Lung Fibrosis and Respiratory Impairment, and Prevention Using Doxycycline",Recruiting,Phase 2,"['Tuberculosis, Pulmonary']",['Doxycycline' 'Placebo'],['Uganda'],Makerere University,Makerere University,Global / Multi-Region,2.0,1.0,0.6,0.3
