nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06295731,INBRX-106 in Combination With Pembrolizumab in First-line PD-L1 CPS≥20 HNSCC,Recruiting,Phase 2/Phase 3,['Head and Neck Squamous Cell Carcinoma (HNSCC)'],['INBRX-106' 'Pembrolizumab'],"['Australia' 'Belgium' 'Bulgaria' 'France' 'Italy' 'Malaysia' 'Poland'
 'Romania' 'South Korea' 'Spain' 'Taiwan' 'United Kingdom' 'United States']","Inhibrx Biosciences, Inc","Inhibrx Biosciences, Inc",Global / Multi-Region,3.0,1.0,0.7
NCT06295770,Obinutuzumab in Treatment of Fibrillary Glomerulonephritis,Recruiting,Phase 2,['Fibrillary Glomerulonephritis'],['Obinutuzumab'],['United States'],Mayo Clinic,Mayo Clinic,Global / Multi-Region,2.0,1.0,0.6
NCT06295809,A Study of (Neo)Adjuvant Intismeran Autogene (V940) and Pembrolizumab in Cutaneous Squamous Cell Carcinoma (V940-007),"Active, not recruiting",Phase 2/Phase 3,"['Carcinoma, Squamous Cell' 'Skin Neoplasms']",['Pembrolizumab' 'Intismeran autogene' 'Surgery'],"['Argentina' 'Australia' 'Belgium' 'Brazil' 'Canada' 'Chile' 'Colombia'
 'Czechia' 'France' 'Germany' 'Hungary' 'Israel' 'Italy' 'New Zealand'
 'Norway' 'Poland' 'Romania' 'Spain' 'United Kingdom' 'United States']",Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Global / Multi-Region,3.0,1.0,0.7
NCT06295926,Serplulimab Combined With CCRT for LS-SCLC.,Recruiting,Phase 2,['Small Cell Lung Cancer'],['Serplulimab'],['China'],Peking Union Medical College Hospital,Peking Union Medical College Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06295952,A Study of Pasireotide in People With Prolactinoma,Recruiting,Phase 2,['Prolactin-Producing Pituitary Tumor'],['Pasireotide' 'SF-36 and HADS'],['United States'],Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Global / Multi-Region,2.0,1.0,0.6
NCT06296082,Comparative Study of the Effects of Dry Needling and Botulinum Toxin Type A as a Treatment for Lower Limb Post-stroke Spasticity,Recruiting,Phase 2/Phase 3,['Stroke'],['Botulinum toxin type A' 'Dry Needling'],['Belgium' 'Canada' 'Spain'],Universiteit Antwerpen,Universiteit Antwerpen,Global / Multi-Region,3.0,1.0,0.7
NCT06296121,A Study of the Efficacy and Safety of Monotherapy With BCD-264 and Darzalex in Subjects With Relapsed and Refractory Multiple Myeloma,Recruiting,Phase 3,['Multiple Myeloma'],['BCD-264' 'Darzalex'],['Russia'],Biocad,Biocad,Global / Multi-Region,4.0,1.0,0.8
NCT06296212,Study of Intravenous TAD® 600 Mg/4 ML Solution for Injection to Evaluate Efficacy and Safety in Preventing Myocardial Injury in Patients with Pneumonia.,Recruiting,Phase 3,['Pneumonia' 'Myocardial Injury'],"['TAD® 600 mg/4 mL powder and solvent for solution for injection'
 'Saline solution 0.9% of sodium chloride']",['Italy'],Biomedica Foscama S.p.A. Industria Chimico-Farmaceutica,Biomedica Foscama S.p.A. Industria Chimico-Farmaceutica,Global / Multi-Region,4.0,1.0,0.8
NCT06296563,Perioperative Treatment of Resectable Intrahepatic Cholangiocarcinoma With the Combination of Adebrelimab and Apatinib and HAIC,Recruiting,Phase 2,['Intrahepatic Cholangiocarcinoma'],['HAIC' 'Adebrelimab' 'Apatinib'],['China'],Lei ZHAO,Lei ZHAO,Global / Multi-Region,2.0,1.0,0.6
NCT06296706,A Clinical Study of Docetaxel for Injection (Albumin-bound) in Patients With Gastric Cancer,Recruiting,Phase 3,['Gastric Cancer'],['Docetaxel for injection (Albumin-bound)' 'Taxotere (docetaxel)'],['China'],"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",Global / Multi-Region,4.0,1.0,0.8
NCT06296966,A Study to Evaluate the Safety and Efficacy of VSJ-110 Compared to Placebo in the Treatment of Dry Eye,Recruiting,Phase 2,['Dry Eye'],['VSJ-110' 'Placebo'],['United States'],Vanda Pharmaceuticals,Vanda Pharmaceuticals,Global / Multi-Region,2.0,1.0,0.6
NCT06297226,Study of Arlocabtagene Autoleucel (BMS-986393) a GPRC5D-directed CAR T Cell Therapy in Adult Participants With Relapsed or Refractory Multiple Myeloma,Recruiting,Phase 2,['Multiple Myeloma'],['Arlocabtagene Autoleucel'],['Australia' 'Canada' 'Japan' 'United States'],"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company","Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",Global / Multi-Region,2.0,1.0,0.6
NCT06297369,Evaluation of the Effect of N-acetylcysteine in Preventing Cisplatin-Induced Toxicities in Cancer Patients,Recruiting,Phase 2,"['Cisplatin Adverse Reaction' 'Cisplatin Nephrotoxicity'
 'Cisplatin Induced Peripheral Neuropathy' 'Cancer Patients'
 'Cisplatin Ototoxicity']",['N acetyl cysteine'],['Egypt'],Ain Shams University,Ain Shams University,Global / Multi-Region,2.0,1.0,0.6
NCT06297434,Phase 2a Study to Evaluate Safety and Explore Efficacy of J2H-1702 for NASH,Recruiting,Phase 2,['Non-alcoholic Steatohepatitis'],['J2H-1702' 'J2H-1702' 'J2H-1702' 'Placebo'],['South Korea'],J2H Biotech,J2H Biotech,Global / Multi-Region,2.0,1.0,0.6
NCT06297512,Evaluate the Role of Anthracycline After Radio Therapy in Patients With Glioblastoma (pGBM).,Recruiting,Phase 2,['Glioblastoma'],"['Radiotherapy, Temozolomide, Doxorubicin']",['Italy'],Iacopo Sardi,Iacopo Sardi,Global / Multi-Region,2.0,1.0,0.6
NCT06297603,"Effect of Retatrutide Compared With Placebo in Participants With Type 2 Diabetes and Moderate or Severe Renal Impairment, With Inadequate Glycemic Control on Basal Insulin, With or Without Metformin and/or SGLT2 Inhibitor (TRANSCEND-T2D-3)","Active, not recruiting",Phase 3,['Type 2 Diabetes'],['Retatrutide' 'Placebo'],"['Argentina' 'Brazil' 'Israel' 'Mexico' 'Puerto Rico' 'United Kingdom'
 'United States']",Eli Lilly and Company,Eli Lilly and Company,Global / Multi-Region,4.0,1.0,0.8
NCT06297863,Head Down Tilt 15° to Increase Collateral Flow in Acute Ischemic Stroke,Recruiting,Phase 2,['Acute Ischemic Stroke'],['HEAD DOWN TILT -10° to -15°'],['Italy'],University of Milano Bicocca,University of Milano Bicocca,Global / Multi-Region,2.0,1.0,0.6
NCT06297967,Acetic Acid 2% Solution for Skin Ulcers,Recruiting,Phase 3,"['Ulcer, Skin']",['Acetic Acid' 'Prontosan'],['Spain'],Consorci Sanitari de l'Alt Penedès i Garraf,Consorci Sanitari de l'Alt Penedès i Garraf,Global / Multi-Region,4.0,1.0,0.8
NCT06298552,A Phase 3 Study to Evaluate the Efficacy and Safety of Efgartigimod IV in Patients With Acetylcholine Receptor Binding Antibody Seronegative Generalized Myasthenia Gravis,"Active, not recruiting",Phase 3,"['Generalized Myasthenia Gravis' 'gMG' 'Myasthenia Gravis, Generalized'
 'Myasthenia Gravis']",['Efgartigimod IV' 'Placebo IV'],"['Belgium' 'Canada' 'China' 'Cyprus' 'Czechia' 'Denmark' 'Finland'
 'France' 'Georgia' 'Germany' 'Greece' 'Hungary' 'Netherlands' 'Norway'
 'Poland' 'Portugal' 'Romania' 'Saudi Arabia' 'Serbia' 'Spain'
 'United Kingdom' 'United States']",argenx,argenx,Global / Multi-Region,4.0,1.0,0.8
NCT06298955,"Long-Term Safety, Tolerability and Efficacy of OMS906 in Paroxysmal Nocturnal Hemoglobinuria",Recruiting,Phase 2,['Paroxysmal Nocturnal Hemoglobinuria'],['OMS906 study drug'],['Germany' 'Switzerland' 'Ukraine' 'United Kingdom'],Omeros Corporation,Omeros Corporation,Global / Multi-Region,2.0,1.0,0.6
NCT06298968,"Combined Therapy Using Gemcitabine and Cisplatin Chemotherapy, Lenvatinib and Adebrelimab for Patients With Advanced and Unresectable Intrahepatic Cholangiocarcinoma",Recruiting,Phase 2,['Intrahepatic Cholangiocarcinoma'],"['combined therapy using gemcitabine and cisplatin chemotherapy, Lenvatinib and Adebrelimab']",['China'],"Nanfang Hospital, Southern Medical University","Nanfang Hospital, Southern Medical University",Global / Multi-Region,2.0,1.0,0.6
NCT06299098,"A Study to Test if Trevogrumab or Trevogrumab With Garetosmab When Taken With Semaglutide is Safe and How Well They Work in Adult Patients With Obesity for Weight Loss, Fat Loss, and Lean Mass Preservation","Active, not recruiting",Phase 2,['Obesity'],"['Trevogrumab-Part A' 'Trevogrumab-Part B and Part C' 'Garetosmab'
 'Semaglutide' 'Matching Placebo-Part A' 'Matching Placebo-Trevogrumab'
 'Matching Placebo-Garetosmab']",['Puerto Rico' 'United States'],Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Global / Multi-Region,2.0,1.0,0.6
NCT06299111,"A Trial to Learn How Well REGN9933 and REGN7508 Work for Preventing Blood Clots, and How Safe They Are, in Adults Who Have a Peripherally Inserted Central Catheter (PICC)",Recruiting,Phase 2,['Venous Thromboembolism'],['REGN9933' 'REGN7508' 'Placebo'],['Bulgaria' 'Canada' 'Israel' 'Romania' 'United Kingdom' 'United States'],Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Global / Multi-Region,2.0,1.0,0.6
NCT06299579,GD-11 for Injection in the Treatment of Acute Ischemic Stroke,Recruiting,Phase 3,['Acute Ischemic Stroke'],['GD-11 for injection test group' 'Placebo control group'],['China'],Beijing Tiantan Hospital,Beijing Tiantan Hospital,Global / Multi-Region,4.0,1.0,0.8
