nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06184698,Liposomal Irinotecan and Leucovorin/5-fluorouracil Plus Bevacizumab in Metastatic Colorectal Cancer,Recruiting,Phase 2,['Colorectal Cancer'],['liposomal irinotecan' '5-FU' 'LV' 'Bevacizumab'],['China'],Hebei Medical University Fourth Hospital,Hebei Medical University Fourth Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06184750,"Finding the Best Tamoxifen Dose for Breast Cancer Risk Reduction in Premenopausal Women, RENAISSANCE Trial",Recruiting,Phase 2,"['Breast Atypical Ductal Hyperplasia'
 'Breast Atypical Lobular Hyperplasia' 'Breast Carcinoma'
 'Breast Ductal Carcinoma In Situ' 'Breast Lobular Carcinoma In Situ'
 'Estrogen Receptor-Positive Breast Carcinoma']","['Biopsy Procedure' 'Biospecimen Collection' 'Mammography'
 'Questionnaire Administration' 'Tamoxifen']",['United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6
NCT06185205,ASHBY: Accelerated Super-Hypofractionated Breast Brachytherapy,Recruiting,Phase 2,['Breast Cancer'],['Accelerated partial breast irradiation'],['United States'],Virginia Commonwealth University,Virginia Commonwealth University,Global / Multi-Region,2.0,1.0,0.6
NCT06185543,"A Phase 2, Randomized, Prospective Double-Blind, Single-Center, Placebo-controlled Study to Evaluate Safety, Tolerability, Target Engagement, and Efficacy of PrimeC in Patients With Mild to Moderate Alzheimer's Disease.",Recruiting,Phase 2,['Alzheimer Disease'],['PrimeC' 'Placebo'],['Israel'],NeuroSense Therapeutics Ltd.,NeuroSense Therapeutics Ltd.,Global / Multi-Region,2.0,1.0,0.6
NCT06185972,Novel Magnetic Resonance Imaging-Guided Ultrasound-Stimulated Microbubble Radiation Treatment for Patients With Chest-Wall and Breast Cancer,Recruiting,Phase 2,['Breast Cancer'],['Definity' 'Sonalleve Focused Ultrasound Device'],['Canada'],Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Global / Multi-Region,2.0,1.0,0.6
NCT06186102,Polyamine Treatment in Elderly Patients With Coronary Artery Disease,Recruiting,Phase 2,"['Ischemic Heart Disease' 'Myocardial Infarction'
 'Cardiovascular Diseases' 'Hypertensive Heart Disease' 'Hypertension'
 'Diastolic Dysfunction' 'Obesity' 'Metabolic Syndrome'
 'Diabetes Mellitus, Type 2' 'Dietary Habits' 'Inflammation'
 'Quality of Life' 'Cognition Disorder' 'Cognitive Impairment']",['Spermidine' 'Placebo'],['Denmark'],University of Aarhus,University of Aarhus,Global / Multi-Region,2.0,1.0,0.6
NCT06186531,PhytoSERM for Menopausal Hot Flashes and Sustained Brain Health,Recruiting,Phase 2,['Menopause' 'Hot Flashes'],['PhytoSERM' 'Placebo'],['United States'],NeuTherapeutics,NeuTherapeutics,Global / Multi-Region,2.0,1.0,0.6
NCT06186609,PD-1 Inhibitor Combined With Radiotherapy for Elderly ESCC,Recruiting,Phase 2,['Esophageal Squamous Cell Carcinoma'],"['PD-1 inhibitor 200mg per three to four weeks, for one year']",['China'],Affiliated Hospital of Nantong University,Affiliated Hospital of Nantong University,Global / Multi-Region,2.0,1.0,0.6
NCT06186648,Evaluation of Treatment by Glofitamab in Combination With Rituximab or Obinutuzumab Plus CHOP in Patients With RIchter Syndrome,Recruiting,Phase 2,['Richter Syndrome'],['Glofitamab + Obinutuzumab'],['France'],French Innovative Leukemia Organisation,French Innovative Leukemia Organisation,Global / Multi-Region,2.0,1.0,0.6
NCT06186726,Clinical Study of Carbon Ion Radiotherapy Combined With Chemotherapy for Thymic Epithelial Tumors,Recruiting,Phase 2,"['Carbon Ion Radiotherapy, Thymoma, Thymic Carcinoma, Radiotherapy, Chemotherapy']",['carbon ion radiotherapy'],['China'],Jian Chen,Jian Chen,Global / Multi-Region,2.0,1.0,0.6
