nct_id,lead_sponsor_norm,region_label,benefit_score,estimated_trial_cost,enrollment_feasibility_score,brief_title,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score,_rank_score,_sponsor_count
NCT06742723,AstraZeneca,UNKNOWN,1.0,2.0,1.0,A Phase III Renal Outcomes and Cardiovascular Mortality Study to Investigate the Efficacy and Safety of Baxdrostat in Combination With Dapagliflozin in Participants With Chronic Kidney Disease and High Blood Pressure,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT05689879,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,Evaluation of TNF-alpha Antagonists (Infliximab) Withdrawal in Sarcoidosis,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT05692180,AstraZeneca,UNKNOWN,1.0,2.0,1.0,"A Multicentre, Randomised, Double-blind, Parallel Group, Placebo-controlled, Time-to-first Asthma Exacerbation Phase III Efficacy and Safety Study of Benralizumab in Paediatric Patients With Severe Eosinophilic Asthma (DOMINICA)",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT05696093,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,Efficacy of Cotrimoxazole as a De-escalation Treatment of Ventilator-Associated Pneumonia in Intensive Care Unit,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT05577988,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,Assessment of an Early De-Escalation to a Low-potency Single Antiplatelet Therapy Guided by Genetics Versus a Systematic High-Potency Single Antiplatelet Therapy to Neutralize Bleeding Complications in Patients With High Bleeding Risk Beyond One Month After an Acute Coronary Syndrome,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT06692738,AstraZeneca,UNKNOWN,1.0,2.0,1.0,A Global Phase III Study of Rilvegostomig or Pembrolizumab Plus Chemotherapy for First-Line Treatment of Metastatic Squamous Non-small Cell Lung Cancer (NSCLC),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT06698796,Pfizer,UNKNOWN,1.0,2.0,1.0,A Study to Understand How the Study Medicine Dazukibart Works in People With Idiopathic Inflammatory Myopathies,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.05058680693545123,6
NCT05611801,Pfizer,UNKNOWN,1.0,2.0,1.0,A Clinical Trial of Study Medicine (Marstacimab) in Pediatric Patients With Hemophilia A or Hemophilia B,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.05058680693545123,6
NCT05623020,Pfizer,UNKNOWN,1.0,2.0,1.0,"A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135), Daratumumab, Lenalidomide or Elranatamab and Lenalidomide Compared With Daratumumab, Lenalidomide, and Dexamethasone in Patients With Newly Diagnosed Multiple Myeloma Who Are Not Candidates for Transplant",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.05058680693545123,6
NCT06679140,Pfizer,UNKNOWN,1.0,2.0,1.0,A Study to Learn About a Study Medicine Called Ibuzatrelvir in Adult and Adolescent Patients With COVID-19 Who Are Not Hospitalized But Are at Risk For Severe Disease,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.05058680693545123,6
