nct_id,brief_title,lead_sponsor,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score
NCT06739122,A Study of Dulaglutide (LY2189265) 3.0 mg and 4.5 mg in Pediatric Participants With Type 2 Diabetes Mellitus (AWARD-PEDS PLUS),Eli Lilly and Company,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05609630,"Study of Oral Upadacitinib and Subcutaneous/Intravenous Tocilizumab to Evaluate Change in Disease Activity, Adverse Events and How Drug Moves Through the Body of Pediatric and Adolescent Participants With Active Systemic Juvenile Idiopathic Arthritis.",AbbVie,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05609968,Study of Pembrolizumab (MK-3475) Monotherapy Versus Sacituzumab Govitecan in Combination With Pembrolizumab for Participants With Metastatic Non-small Cell Lung Cancer (NSCLC) With Programmed Cell Death Ligand 1 (PD-L1) Tumor Proportion Score (TPS) ≥50% (MK-3475-D46),Merck Sharp & Dohme LLC,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05611801,A Clinical Trial of Study Medicine (Marstacimab) in Pediatric Patients With Hemophilia A or Hemophilia B,Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06734702,Neoadjuvant Immunotherapy Plus Chemotherapy Followed by Concurrent Chemoradiotherapy and Consolidative Immunotherapy for Locally Advanced Non-small Cell Lung Cancer,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05623020,"A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135), Daratumumab, Lenalidomide or Elranatamab and Lenalidomide Compared With Daratumumab, Lenalidomide, and Dexamethasone in Patients With Newly Diagnosed Multiple Myeloma Who Are Not Candidates for Transplant",Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05624450,Efficacy and Safety of Tozorakimab in Patients Hospitalised for Viral Lung Infection Requiring Supplemental Oxygen,AstraZeneca,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05624749,Phase 3 Study to Evaluate Ianalumab on Top of Standard-of-care Therapy in Patients With Systemic Lupus Erythematosus (SIRIUS-SLE 2),Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06734351,A Study to Assess Safety and Effectiveness of Injections of NOA VOLUME Injectable Gel in Adult Participants Compared to JUVÉDERM VOLUMA XC for Change of Mid-Face Volume,AbbVie,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06732401,Testing the Addition of AZD6738 (Ceralasertib) to Immunotherapy to Increase Time Without Cancer for Patients With Non-Small Cell Lung Cancer,National Cancer Institute (NCI),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05639114,Phase 3 Study to Evaluate Two Regimens of Ianalumab on Top of Standard-of-care Therapy in Patients With Systemic Lupus Erythematosus (SIRIUS-SLE 1),Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05648968,A Study of Efficacy and Safety of Ianalumab in Previously Treated Patients With Warm Autoimmune Hemolytic Anemia,Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05726916,Eculizumab in Hypertensive Emergency-associated Hemolytic Uremic Syndrome,Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05737563,PD-1 Antibody Combined With mXELIRI Versus mXELIRI in the Second-line Setting for ESCC,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05577988,Assessment of an Early De-Escalation to a Low-potency Single Antiplatelet Therapy Guided by Genetics Versus a Systematic High-Potency Single Antiplatelet Therapy to Neutralize Bleeding Complications in Patients With High Bleeding Risk Beyond One Month After an Acute Coronary Syndrome,Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05784246,A Study of Mirikizumab (LY3074828) in Pediatric Participants With Moderately to Severely or Active Ulcerative Colitis,Eli Lilly and Company,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05794971,Regorafenib Combined With Irinotecan Drug-Eluting Beads for Colorectal Cancer Liver Metastases,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05795140,"Evaluate Long-term Safety, Tolerability and Efficacy of Iptacopan in Study Participants With aHUS",Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05797610,A Study to Evaluate the Efficacy and Safety of Sefaxersen (RO7434656) in Participants With Primary Immunoglobulin A (IgA) Nephropathy at High Risk of Progression,Hoffmann-La Roche,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05806060,Precise Treatment for BLIS Subtype of TNBC in the First-line Treatment of Locally Advanced or Metastatic Breast Cancer,Fudan University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06641635,Moderated Hypofractionated Online Adaptive Radiotherapy in Cervical Cancer,Peking Union Medical College Hospital,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05823311,"Lenvatinib, Tislelizumab Combined with Gemcitabine and Cisplatin (GPLET) in the Treatment of Advanced Cholangiocarcinoma","Second Affiliated Hospital, School of Medicine, Zhejiang University",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06641466,A Study to Learn About the Study Medicine Called Rimegepant in Women When Used for Intermittent Prevention of Menstrual Migraine,Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05827081,Phase IIIb Study of Ribociclib + ET in Early Breast Cancer,Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
