method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
qaoa,12,1.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,1.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,1.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,2.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,2.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,2.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,0.5,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,0.5,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,0.5,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,1.0,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,1.0,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,1.0,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,2.0,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,2.0,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,2.0,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,0.5,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,0.5,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,0.5,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,1.0,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,1.0,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,1.0,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,2.0,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,2.0,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,9,2.0,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,0.5,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,0.5,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,0.5,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,1.0,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,1.0,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,1.0,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,2.0,0.5,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,2.0,1.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,12,2.0,2.0,0.05,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.0714249273925805,3,0.5259326009603115
qaoa,6,0.5,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,0.5,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,0.5,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
