config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective,objective_norm
K3_lc2.0_ls1.0_sig0.1_seed1_pool6_shots1024_A10.0,3,2.0,1.0,0.1,1,6,10.0,1024,1.5333333333333332,0.2,-74.49470451692112,011001,0.5,3,1.7465391194363353,1.2571770130304043,1.4187253648644236,2.186540271488897,0.2757916283897717
K3_lc2.0_ls1.0_sig0.1_seed2_pool6_shots1024_A10.0,3,2.0,1.0,0.1,2,6,10.0,1024,1.0,0.2,-77.07762674969204,101001,0.5,3,1.4656679724366575,0.31468033416502084,1.997160879022434,1.1608535749158182,0.20009855857980746
K3_lc2.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,3,2.0,2.0,0.0,0,6,10.0,1024,1.5333333333333332,1.8,-79.83203125,010110,0.5,3,0.0,0.0,3.0,6.0,0.5572152584437589
K3_lc2.0_ls2.0_sig0.0_seed1_pool6_shots1024_A10.0,3,2.0,2.0,0.0,1,6,10.0,1024,1.5333333333333332,1.8,-79.69921875,100110,0.5,3,0.0,0.0,3.0,6.0,0.5572152584437589
K3_lc2.0_ls2.0_sig0.0_seed2_pool6_shots1024_A10.0,3,2.0,2.0,0.0,2,6,10.0,1024,1.5333333333333332,0.2,-79.66796875,100011,0.5,3,0.0,0.0,3.0,6.0,0.5572152584437589
K3_lc2.0_ls2.0_sig0.05_seed0_pool6_shots1024_A10.0,3,2.0,2.0,0.05,0,6,10.0,1024,1.5333333333333332,1.2666666666666666,-79.13858830713933,101100,0.5,3,2.3075795834628354,0.7362156794472429,0.7777386044375431,0.7203289843067364,0.16758896407947227
K3_lc2.0_ls2.0_sig0.05_seed1_pool6_shots1024_A10.0,3,2.0,2.0,0.05,1,6,10.0,1024,1.5333333333333332,1.8,-78.12114477504397,011001,0.5,3,1.7465391194284263,1.2530908856586276,1.4187253648762637,3.597093381641356,0.3798868607781399
K3_lc2.0_ls2.0_sig0.05_seed2_pool6_shots1024_A10.0,3,2.0,2.0,0.05,2,6,10.0,1024,1.0,0.2,-72.30595877106529,001101,0.5,3,1.0984986145137285,0.6991978027596577,1.202996378792176,2.705889748589939,0.3141182990556974
K3_lc2.0_ls2.0_sig0.1_seed0_pool6_shots1024_A10.0,3,2.0,2.0,0.1,0,6,10.0,1024,1.5333333333333332,1.2666666666666666,-78.8992540885702,101100,0.5,3,2.3075795834824553,0.745306731910075,0.7777386044269915,0.7385110891916777,0.16893075718154346
K3_lc2.0_ls2.0_sig0.1_seed1_pool6_shots1024_A10.0,3,2.0,2.0,0.1,1,6,10.0,1024,1.5333333333333332,1.8,-78.13096116461156,011001,0.5,3,1.7465391194363353,1.2571770130304043,1.4187253648644236,3.6052656363533204,0.38048995239323463
