config_key,nct_id
K=50|lc=1.0|ls=0.5,NCT06230757
K=50|lc=1.0|ls=0.5,NCT06231017
K=50|lc=1.0|ls=0.5,NCT06231381
K=50|lc=1.0|ls=0.5,NCT06231563
K=50|lc=1.0|ls=0.5,NCT06231641
K=50|lc=1.0|ls=0.5,NCT06231680
K=50|lc=1.0|ls=0.5,NCT06231745
K=50|lc=1.0|ls=0.5,NCT06231758
K=50|lc=1.0|ls=0.5,NCT06232564
K=50|lc=1.0|ls=0.5,NCT06232577
K=50|lc=1.0|ls=0.5,NCT06232655
K=50|lc=1.0|ls=0.5,NCT06233344
K=50|lc=1.0|ls=0.5,NCT06233461
K=50|lc=1.0|ls=0.5,NCT06233591
K=50|lc=1.0|ls=0.5,NCT06233786
K=50|lc=1.0|ls=0.5,NCT06233799
K=50|lc=1.0|ls=0.5,NCT06233981
K=50|lc=1.0|ls=0.5,NCT06234007
K=50|lc=1.0|ls=0.5,NCT06234631
K=50|lc=1.0|ls=0.5,NCT06234748
K=50|lc=1.0|ls=1.0,NCT00002462
K=50|lc=1.0|ls=1.0,NCT06200155
K=50|lc=1.0|ls=1.0,NCT06224192
K=50|lc=1.0|ls=1.0,NCT06224244
K=50|lc=1.0|ls=1.0,NCT06224257
K=50|lc=1.0|ls=1.0,NCT06224348
K=50|lc=1.0|ls=1.0,NCT06224907
K=50|lc=1.0|ls=1.0,NCT06225232
K=50|lc=1.0|ls=1.0,NCT06225258
K=50|lc=1.0|ls=1.0,NCT06225284
K=50|lc=1.0|ls=1.0,NCT06225544
K=50|lc=1.0|ls=1.0,NCT06225752
K=50|lc=1.0|ls=1.0,NCT06225843
K=50|lc=1.0|ls=1.0,NCT06225973
K=50|lc=1.0|ls=1.0,NCT06225999
K=50|lc=1.0|ls=1.0,NCT06226025
K=50|lc=1.0|ls=1.0,NCT06226610
K=50|lc=1.0|ls=1.0,NCT06226714
K=50|lc=1.0|ls=1.0,NCT06228963
K=50|lc=1.0|ls=1.0,NCT06229041
