config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective
K6_lc1.0_ls1.0_sig0.0_seed2_pool6_shots1024_A10.0,6,1.0,1.0,0.0,2,6,10.0,1024,1.2666666666666666,1.0,-328.7666015625,111111,1.0,6,0.0,0.0,6.0,6.0
K6_lc1.0_ls1.0_sig0.05_seed0_pool6_shots1024_A10.0,6,1.0,1.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-281.192398557724,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,1.572973985460921
K6_lc1.0_ls1.0_sig0.05_seed1_pool6_shots1024_A10.0,6,1.0,1.0,0.05,1,6,10.0,1024,1.2666666666666666,1.0,-275.1743344857316,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,3.256109502633623
K6_lc1.0_ls1.0_sig0.05_seed2_pool6_shots1024_A10.0,6,1.0,1.0,0.05,2,6,10.0,1024,1.5333333333333332,1.8,-276.8616764782095,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,2.396527669379962
K6_lc1.0_ls1.0_sig0.1_seed0_pool6_shots1024_A10.0,6,1.0,1.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-281.7287322794438,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,1.5886477108626709
K6_lc1.0_ls1.0_sig0.1_seed1_pool6_shots1024_A10.0,6,1.0,1.0,0.1,1,6,10.0,1024,1.2666666666666666,1.0,-274.91141726036807,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,3.261905627290721
K6_lc1.0_ls1.0_sig0.1_seed2_pool6_shots1024_A10.0,6,1.0,1.0,0.1,2,6,10.0,1024,1.5333333333333332,1.8,-276.9548132703119,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,2.404431240998378
K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.625,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc1.0_ls2.0_sig0.0_seed1_pool6_shots1024_A10.0,6,1.0,2.0,0.0,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-345.09765625,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc1.0_ls2.0_sig0.0_seed2_pool6_shots1024_A10.0,6,1.0,2.0,0.0,2,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.59375,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc1.0_ls2.0_sig0.05_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-279.9389522254205,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,3.5052379319203086
K6_lc1.0_ls2.0_sig0.05_seed1_pool6_shots1024_A10.0,6,1.0,2.0,0.05,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-332.93413794646926,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,6.722332835050024
K6_lc1.0_ls2.0_sig0.05_seed2_pool6_shots1024_A10.0,6,1.0,2.0,0.05,2,6,10.0,1024,1.2666666666666666,1.0,-290.1688067394354,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,5.461228736205394
K6_lc1.0_ls2.0_sig0.1_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-279.23818921373226,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,3.520911657302744
K6_lc1.0_ls2.0_sig0.1_seed1_pool6_shots1024_A10.0,6,1.0,2.0,0.1,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-332.8659310263486,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,6.728128959688152
K6_lc1.0_ls2.0_sig0.1_seed2_pool6_shots1024_A10.0,6,1.0,2.0,0.1,2,6,10.0,1024,1.2666666666666666,1.0,-289.9819112522405,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,5.469132307801861
