lambda_cost,lambda_safety,noise_sigma,greedy_objective_mean,greedy_objective_std,greedy_objective_norm_mean,greedy_objective_norm_std,greedy_jaccard_vs_baseline_mean,greedy_jaccard_vs_baseline_std,greedy_selected_n_mean,greedy_selected_n_std,greedy_total_benefit_mean,greedy_total_benefit_std,greedy_total_cost_mean,greedy_total_cost_std,greedy_total_safety_mean,greedy_total_safety_std,qaoa_objective_mean,qaoa_objective_std,qaoa_objective_norm_mean,qaoa_objective_norm_std,qaoa_jaccard_vs_baseline_mean,qaoa_jaccard_vs_baseline_std,qaoa_selected_n_mean,qaoa_selected_n_std,qaoa_total_benefit_mean,qaoa_total_benefit_std,qaoa_total_cost_mean,qaoa_total_cost_std,qaoa_total_safety_mean,qaoa_total_safety_std,delta_objective_mean,delta_objective_norm_mean,delta_jaccard_vs_baseline_mean,delta_selected_n_mean,_join_mode
0.5,1.0,0.1,-4.176407284481911,2.389082939962996,0.9886777360879222,0.009417109000140634,0.0026495703915058668,0.004701177241912716,50.0,21.128856368212915,36.18576134939061,14.917270574377522,80.72433726774506,34.58510471775818,0.0,0.0,-3.24267906703596,1.1716441878848298,0.9637685383657923,0.030013813981031548,0.553030303030303,0.17196302216388135,9.0,2.598076211353316,5.540754199854864,1.530688089619791,17.56686653378165,5.396849213759418,0.0,0.0,0.9337282174459509,-0.02490919772212985,0.5503807326387972,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,2.0,0.1,-4.176407284481911,2.389082939962996,0.9886777360879222,0.009417109000140634,0.0026495703915058668,0.004701177241912716,50.0,21.128856368212915,36.18576134939061,14.917270574377522,80.72433726774506,34.58510471775818,0.0,0.0,-3.24267906703596,1.1716441878848298,0.9637685383657923,0.030013813981031548,0.553030303030303,0.17196302216388135,9.0,2.598076211353316,5.540754199854864,1.530688089619791,17.56686653378165,5.396849213759418,0.0,0.0,0.9337282174459509,-0.02490919772212985,0.5503807326387972,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,2.0,0.05,-55.932404787444966,24.143950090741583,0.7846698041138426,0.095168822268677,0.004770248397313693,0.006309806238404232,50.0,21.128856368212915,31.449230539373037,13.270138764392645,87.381635326818,37.41313512607438,0.0,0.0,-12.306218256077226,3.747823567497356,0.7315893648226942,0.09600737199205807,0.5681818181818181,0.15868454595191983,9.0,2.598076211353316,5.450607988620163,1.5635474946605106,17.756826244697393,5.310360639409121,0.0,0.0,43.626186531367736,-0.05308043929114836,0.5634115697845045,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,1.0,0.05,-55.932404787444966,24.143950090741583,0.7846698041138426,0.095168822268677,0.004770248397313693,0.006309806238404232,50.0,21.128856368212915,31.449230539373037,13.270138764392645,87.381635326818,37.41313512607438,0.0,0.0,-12.306218256077226,3.747823567497356,0.7315893648226942,0.09600737199205807,0.5681818181818181,0.15868454595191983,9.0,2.598076211353316,5.450607988620163,1.5635474946605106,17.756826244697393,5.310360639409121,0.0,0.0,43.626186531367736,-0.05308043929114836,0.5634115697845045,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,0.5,0.05,-55.932404787444966,24.143950090741583,0.7846698041138426,0.095168822268677,0.004770248397313693,0.006309806238404232,50.0,21.128856368212915,31.449230539373037,13.270138764392645,87.381635326818,37.41313512607438,0.0,0.0,-12.306218256077226,3.747823567497356,0.7315893648226942,0.09600737199205807,0.5681818181818181,0.15868454595191983,9.0,2.598076211353316,5.450607988620163,1.5635474946605106,17.756826244697393,5.310360639409121,0.0,0.0,43.626186531367736,-0.05308043929114836,0.5634115697845045,-41.0,loose_on_lambdas_noise__K_marginalized
2.0,0.5,0.0,-170.0,71.83811165192391,0.335046662308151,0.28316611218232224,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-30.599999999999998,8.833459118601274,0.26296060538428606,0.22628525070685282,0.6018518518518517,0.15664200647342724,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,139.4,-0.07208605692386494,-0.12037037037037046,-41.0,loose_on_lambdas_noise__K_marginalized
2.0,1.0,0.0,-170.0,71.83811165192391,0.335046662308151,0.28316611218232224,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-30.599999999999998,8.833459118601274,0.26296060538428606,0.22628525070685282,0.6018518518518517,0.15664200647342724,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,139.4,-0.07208605692386494,-0.12037037037037046,-41.0,loose_on_lambdas_noise__K_marginalized
2.0,2.0,0.0,-170.0,71.83811165192391,0.335046662308151,0.28316611218232224,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-30.599999999999998,8.833459118601274,0.26296060538428606,0.22628525070685282,0.6018518518518517,0.15664200647342724,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,139.4,-0.07208605692386494,-0.12037037037037046,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,1.0,0.1,-43.312383259697036,19.206425727216804,0.8344144640094774,0.07570645687968695,0.004770248397313693,0.006309806238404232,50.0,21.128856368212915,33.53368369550656,14.049327551330176,76.84606695520361,33.25045214494431,0.0,0.0,-12.018906377232708,3.877656431174555,0.7389493853607961,0.09933327883248456,0.553030303030303,0.17196302216388135,9.0,2.598076211353316,5.525669560789738,1.5508247647890387,17.544575938022447,5.4259519486266035,0.0,0.0,31.293476882464326,-0.09546507864868126,0.5482600546329893,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,0.5,0.1,-43.312383259697036,19.206425727216804,0.8344144640094774,0.07570645687968695,0.004770248397313693,0.006309806238404232,50.0,21.128856368212915,33.53368369550656,14.049327551330176,76.84606695520361,33.25045214494431,0.0,0.0,-12.018906377232708,3.877656431174555,0.7389493853607961,0.09933327883248456,0.553030303030303,0.17196302216388135,9.0,2.598076211353316,5.525669560789738,1.5508247647890387,17.544575938022447,5.4259519486266035,0.0,0.0,31.293476882464326,-0.09546507864868126,0.5482600546329893,-41.0,loose_on_lambdas_noise__K_marginalized
